concept_id,gene_name
hgnc:2206,COL4A4
hgnc:27023,COL6A6
hgnc:9539,PSMB2
hgnc:9543,PSMB6
hgnc:9532,PSMA3
hgnc:9533,PSMA4
hgnc:9536,PSMA7
hgnc:9540,PSMB3
hgnc:9544,PSMB7
hgnc:15759,ADRM1
hgnc:9549,PSMC3
hgnc:9557,PSMD12
hgnc:9561,PSMD4
hgnc:2203,COL4A2
hgnc:2210,COL5A2
hgnc:2212,COL6A2
hgnc:2207,COL4A5
hgnc:26674,COL6A5
hgnc:9554,PSMD1
hgnc:9542,PSMB5
hgnc:9545,PSMB8
hgnc:9530,PSMA1
hgnc:9531,PSMA2
hgnc:9534,PSMA5
hgnc:22985,PSMA8
hgnc:31963,PSMB11
hgnc:9541,PSMB4
hgnc:9551,PSMC4
hgnc:9553,PSMC6
hgnc:9552,PSMC5
hgnc:9560,PSMD3
hgnc:9556,PSMD11
hgnc:9558,PSMD13
hgnc:14799,OR52J3
hgnc:10935,SLC18A2
hgnc:1951,CHRM2
hgnc:10845,SEM1
hgnc:2159,CNR1
hgnc:1955,CHRNA1
hgnc:1965,CHRND
hgnc:3391,EPHA8
hgnc:19296,EPHA6
hgnc:3394,EPHB3
hgnc:1967,CHRNG
hgnc:1966,CHRNE
hgnc:3388,EPHA4
hgnc:382,AKR1B10
hgnc:3396,EPHB6
hgnc:19987,EPHA10
hgnc:251,ADH1C
hgnc:4326,GLRA1
hgnc:7684,NDUFA10
hgnc:7715,NDUFS8
hgnc:7690,NDUFA6
hgnc:3385,EPHA1
hgnc:249,ADH1A
hgnc:4329,GLRB
hgnc:12440,TYK2
hgnc:7687,NDUFA4
hgnc:20371,NDUFA11
hgnc:7708,NDUFS2
hgnc:7692,NDUFA8
hgnc:7459,MT-ND4
hgnc:7683,NDUFA1
hgnc:7712,NDUFS5
hgnc:7713,NDUFS6
hgnc:7710,NDUFS3
hgnc:7686,NDUFA3
hgnc:7699,NDUFB4
hgnc:7691,NDUFA7
hgnc:7706,NDUFC2
hgnc:7688,NDUFA5
hgnc:29918,NDUFAF3
